juice-shop	5.8.0	https://charts.securecodebox.io/	13
mysql-operator	2.3.0	https://mysql.github.io/mysql-operator/	13
operator	7.1.1	https://operator.min.io	13
pulsar	4.7.0	https://pulsar.apache.org/charts	13
pyroscope	2.2.1	https://grafana.github.io/helm-charts	13
telegraf	1.8.75	https://helm.influxdata.com/	13
teleport-cluster	18.11.0	https://charts.releases.teleport.dev	13
unleash	5.6.8	https://docs.getunleash.io/helm-charts/	13
ingress	0.24.0	https://charts.konghq.com	12
k8tz	0.20.0	https://k8tz.github.io/k8tz/	12
okteto	1.48.0	https://charts.okteto.com	12
yourls	8.9.8	https://charts.yourls.org/	12
apache	11.4.29	https://charts.bitnami.com/bitnami	12
rbac-manager	2.0.0	https://charts.fairwinds.com/stable	12
stacks-blockchain	2.2.2	https://charts.hiro.so/hirosystems	12
victoria-metrics-single	0.45.0	https://victoriametrics.github.io/helm-charts/	12
ambassador	6.9.5	https://getambassador.io/	12
aws-vpc-cni	1.22.4	https://aws.github.io/eks-charts	12
couchdb	4.6.3	https://apache.github.io/couchdb-helm/	12
hydra	0.64.0	https://k8s.ory.sh/helm/charts	12
k6-operator	4.6.0	https://grafana.github.io/helm-charts	12
kiali-server	2.31.0	https://kiali.org/helm-charts	12
nri-bundle	8.0.22	https://helm-charts.newrelic.com	12
prometheus-msteams	1.3.6	https://prometheus-msteams.github.io/prometheus-msteams	12
vela-core	1.11.0	https://kubevela.github.io/charts	12
verdaccio	4.35.1	https://charts.verdaccio.org/	12
vllm-stack	0.1.12	https://vllm-project.github.io/production-stack	12
gocd	2.18.0	https://gocd.github.io/helm-chart	11
k8sgpt-operator	0.2.29	https://charts.k8sgpt.ai	11
node-feature-discovery	0.19.0	https://kubernetes-sigs.github.io/node-feature-discovery/charts	11
openproject	13.11.0	https://charts.openproject.org	11
san-iscsi-csi	4.0.2	https://charts.enix.io	11
volsync	0.16.0	https://backube.github.io/helm-charts/	11
actualbudget	1.9.4	https://community-charts.github.io/helm-charts	11
cluster-overprovisioner	0.7.14	https://raw.githubusercontent.com/deliveryhero/helm-charts/refs/heads/master/	11
headscale	0.16.0	https://charts.gabe565.com	11
schema-registry	26.0.5	https://charts.bitnami.com/bitnami	11
wazuh	2.0.5	https://morgoved.github.io/wazuh-helm	11
armory-spinnaker-operator	1.8.11	https://armory.jfrog.io/artifactory/charts/	11
cube	3.3.0	https://gadsme.github.io/charts	11
erpnext	8.0.78	https://helm.erpnext.com	11
hadoop	1.3.0	https://pfisterer.github.io/apache-hadoop-helm/	11
kratos	0.64.0	https://k8s.ory.sh/helm/charts	11
oncall	1.16.5	https://grafana.github.io/helm-charts	11
telepresence	2.20.3-test.0	https://getambassador.io/	11
temporal	1.6.0	https://temporalio.github.io/helm-charts	11
apm-server	8.5.1	https://helm.elastic.co	10
eck-stack	0.20.0	https://helm.elastic.co	10
gadget	0.55.1	https://inspektor-gadget.github.io/charts	10
hpe-csi-driver	3.2.0	https://hpe-storage.github.io/co-deployments/	10
kwatch	0.10.5	https://kwatch.dev/charts	10
prometheus-snmp-exporter	9.17.1	https://prometheus-community.github.io/helm-charts	10
trident-operator	100.2606.1	https://netapp.github.io/trident-helm-chart	10
weaviate	17.8.3	https://weaviate.github.io/weaviate-helm	10
chatwoot	2.0.24	https://chatwoot.github.io/charts/	10
csi-driver-smb	1.20.3	https://raw.githubusercontent.com/kubernetes-csi/csi-driver-smb/master/charts	10
kube-downscaler	0.7.6	https://raw.githubusercontent.com/deliveryhero/helm-charts/refs/heads/master/	10
lemmy	0.6.15	https://ananace.gitlab.io/charts	10
neo4j	2026.7.1	https://neo4j.github.io/helm-charts/	10
openbao	0.29.4	https://openbao.github.io/openbao-helm	10
paperless-ngx	0.24.1	https://charts.gabe565.com	10
stacks-blockchain-api	6.5.1	https://charts.hiro.so/hirosystems	10
victoria-metrics-agent	0.46.0	https://victoriametrics.github.io/helm-charts/	10
apisix-ingress-controller	1.3.0	https://charts.apiseven.com	10
artifactory-jcr	107.161.20	https://charts.jfrog.io	10
